,,,Result,,,,,PDO,,Shots,,,,,Faceoffs,,,,Save Percentage,,Hits,,,Blocked Shots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Date,Opponent,Loc.,Result,GF,GA,GD,PDO,PDO-A,SF,SA,SD,SH%,SH%-A,FOW,FOL,FOD,FO%,SV%,SV%-A,HITS,HITS-A,HITS-D,BS,BS-A,BS-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2022-12-01,New Jersey Devils,Away,OT Win,4,3,1,106.0%,94.0%,24,28,-4,16.7%,10.7%,28,31,-3,47.46%,89.29%,83.33%,25,11,14,13,17,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2022-11-29,Anaheim Ducks,Home,OT Win,2,1,1,102.0%,98.0%,41,35,6,4.9%,2.9%,32,23,9,58.18%,97.14%,95.12%,21,15,6,17,20,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2022-11-23,Detroit Red Wings,Away,Loss,0,3,-3,92.9%,110.3%,26,29,-3,0.0%,10.3%,17,26,-9,39.53%,92.86%,100.00%,18,29,-11,9,23,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2022-11-21,Arizona Coyotes,Home,SO Win,4,3,1,95.6%,104.4%,45,27,18,6.7%,11.1%,35,29,6,54.69%,88.89%,93.33%,24,34,-10,9,13,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2022-11-19,Tampa Bay Lightning,Home,OT Loss,2,3,-1,98.6%,101.4%,32,39,-7,6.3%,7.7%,25,25,0,50.00%,92.31%,93.75%,35,20,15,22,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2022-11-17,New York Islanders,Home,Win,5,4,1,104.0%,96.0%,31,33,-2,16.1%,12.1%,28,26,2,51.85%,87.88%,83.87%,18,37,-19,22,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2022-11-15,Minnesota Wild,Home,Win,2,1,1,105.0%,95.0%,25,33,-8,8.0%,3.0%,29,24,5,54.72%,96.97%,92.00%,43,22,21,19,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2022-11-12,New York Rangers,Home,Win,2,1,1,108.3%,91.7%,18,35,-17,11.1%,2.9%,25,26,-1,49.02%,97.14%,88.89%,25,32,-7,22,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2022-11-10,Colorado Avalanche,Away,Loss,3,5,-2,94.3%,105.7%,35,35,0,8.6%,14.3%,38,31,7,55.07%,85.71%,91.43%,32,23,9,12,21,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2022-11-08,Seattle Kraken,Away,Loss,1,5,-4,82.9%,121.0%,25,20,5,4.0%,25.0%,27,19,8,58.70%,78.95%,96.00%,21,16,5,15,22,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2022-11-05,Vancouver Canucks,Away,SO Win,4,3,1,103.3%,96.7%,30,45,-15,10.0%,6.7%,36,37,-1,49.32%,93.33%,90.00%,34,22,12,14,16,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2022-11-03,Calgary Flames,Away,Win,4,1,3,109.2%,93.7%,32,30,2,12.5%,3.3%,40,28,12,58.82%,96.67%,90.32%,25,40,-15,24,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2022-11-01,Edmonton Oilers,Away,Loss,4,7,-3,100.7%,101.5%,23,37,-14,17.4%,18.9%,31,36,-5,46.27%,83.33%,82.61%,60,27,33,24,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2022-10-29,Washington Capitals,Home,Loss,0,3,-3,94.1%,108.6%,34,35,-1,0.0%,8.6%,38,24,14,61.29%,94.12%,100.00%,36,28,8,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2022-10-27,St. Louis Blues,Home,Win,6,2,4,108.6%,93.5%,42,35,7,14.3%,5.7%,25,23,2,52.08%,94.29%,87.80%,35,25,10,9,19,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2022-10-22,Philadelphia Flyers,Home,Loss,1,3,-2,91.1%,108.9%,32,25,7,3.1%,12.0%,40,16,24,71.43%,88.00%,96.88%,38,19,19,12,22,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2022-10-20,Columbus Blue Jackets,Away,Loss,3,5,-2,101.8%,100.4%,26,42,-16,11.5%,11.9%,37,31,6,54.41%,90.24%,88.46%,15,28,-13,19,20,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2022-10-18,Los Angeles Kings,Home,SO Loss,3,4,-1,100.8%,99.2%,32,35,-3,9.4%,8.6%,33,20,13,62.26%,91.43%,90.63%,31,20,11,17,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2022-10-15,Dallas Stars,Away,Loss,1,5,-4,84.3%,119.4%,30,22,8,3.3%,22.7%,27,31,-4,46.55%,80.95%,96.67%,17,13,4,18,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2022-10-13,Dallas Stars,Home,Loss,1,4,-3,89.3%,110.7%,32,29,3,3.1%,13.8%,28,28,0,50.00%,86.21%,96.88%,45,30,15,7,17,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2022-10-08,San Jose Sharks,Away,Win,3,2,1,110.6%,89.4%,18,33,-15,16.7%,6.1%,34,35,-1,49.28%,93.94%,83.33%,33,23,10,23,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2022-10-07,San Jose Sharks,Home,Win,4,1,3,109.3%,93.5%,32,31,1,12.5%,3.2%,30,36,-6,45.45%,96.77%,90.32%,23,22,1,11,23,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
