,team_name,away_wins,home_wins,away_losses,home_losses,total_goals_scored,total_goals_against,made_playoffs,total_wins,goal_diff
99,Detroit Red Wings,21,22,20,19,235,221,Yes,43,14
100,Nashville Predators,19,28,22,13,232,208,Yes,47,24
101,Vancouver Canucks,24,24,17,17,242,222,Yes,48,20
102,Chicago Blackhawks,24,24,17,17,229,189,Yes,48,40
103,Ottawa Senators,20,23,21,18,238,215,Yes,43,23
104,Montreal Canadiens,24,26,17,15,221,189,Yes,50,32
105,Minnesota Wild,24,22,17,19,231,201,Yes,46,30
106,Washington Capitals,22,23,19,18,242,203,Yes,45,39
107,St Louis Blues,24,27,17,14,248,201,Yes,51,47
108,Anaheim Ducks,25,26,16,15,236,226,Yes,51,10
109,New York Islanders,22,25,19,16,252,230,Yes,47,22
110,Calgary Flames,22,23,19,18,241,216,Yes,45,25
111,Winnipeg Jets,20,23,21,18,230,210,Yes,43,20
112,Philadelphia Flyers,18,23,23,18,214,218,Yes,41,-4
113,Los Angeles Kings,22,26,19,15,225,195,Yes,48,30
114,Tampa Bay Lightning,21,25,20,16,227,201,Yes,46,26
115,New York Rangers,19,27,22,14,236,217,Yes,46,19
116,Pittsburgh Penguins,22,26,19,15,245,203,Yes,48,42
117,Detroit Red Wings,19,22,22,19,211,224,Yes,41,-13
118,San Jose Sharks,28,18,13,23,241,210,Yes,46,31
119,Nashville Predators,18,23,23,18,228,215,Yes,41,13
120,Chicago Blackhawks,21,26,20,15,235,209,Yes,47,26
121,Minnesota Wild,17,21,24,20,216,206,Yes,38,10
122,Washington Capitals,27,29,14,12,252,193,Yes,56,59
123,St Louis Blues,25,24,16,17,224,201,Yes,49,23
124,Anaheim Ducks,21,25,20,16,218,192,Yes,46,26
125,New York Islanders,20,25,21,16,232,216,Yes,45,16
126,Florida Panthers,22,25,19,16,239,203,Yes,47,36
127,Dallas Stars,22,28,19,13,267,230,Yes,50,37
128,Boston Bruins,21,23,20,18,234,212,Yes,44,22
129,New York Rangers,27,21,14,20,256,220,Yes,48,36
130,Pittsburgh Penguins,19,31,22,10,282,234,Yes,50,48
131,San Jose Sharks,20,26,21,15,221,201,Yes,46,20
132,Nashville Predators,17,24,24,17,240,224,Yes,41,16
133,Chicago Blackhawks,24,26,17,15,244,213,Yes,50,31
134,Ottawa Senators,22,22,19,19,212,214,Yes,44,-2
135,Montreal Canadiens,23,24,18,17,226,200,Yes,47,26
136,Minnesota Wild,22,27,19,14,266,208,Yes,49,58
137,Washington Capitals,23,32,18,9,263,182,Yes,55,81
138,St Louis Blues,22,24,19,17,235,218,Yes,46,17
139,Anaheim Ducks,17,29,24,12,223,200,Yes,46,23
140,Toronto Maple Leafs,19,21,22,20,251,242,Yes,40,9
141,Calgary Flames,21,24,20,17,226,221,Yes,45,5
142,Columbus Blue Jackets,22,28,19,13,249,195,Yes,50,54
143,Edmonton Oilers,22,25,19,16,247,212,Yes,47,35
144,New Jersey Devils,21,23,20,18,248,244,Yes,44,4
145,Philadelphia Flyers,20,22,21,19,251,243,Yes,42,8
146,Los Angeles Kings,22,23,19,18,239,203,Yes,45,36
147,Tampa Bay Lightning,25,29,16,12,296,236,Yes,54,60
148,Boston Bruins,22,28,19,13,270,214,Yes,50,56
149,Pittsburgh Penguins,17,30,24,11,272,250,Yes,47,22
150,San Jose Sharks,20,25,21,16,252,229,Yes,45,23
151,Nashville Predators,25,28,16,13,267,211,Yes,53,56
152,Minnesota Wild,18,27,23,14,253,232,Yes,45,21
153,Washington Capitals,21,28,20,13,259,239,Yes,49,20
154,Anaheim Ducks,18,26,23,15,235,216,Yes,44,19
155,Toronto Maple Leafs,20,29,21,12,277,232,Yes,49,45
156,Colorado Avalanche,15,28,26,13,257,237,Yes,43,20
157,Columbus Blue Jackets,19,26,22,15,242,230,Yes,45,12
158,Winnipeg Jets,20,32,21,9,277,218,Yes,52,59
159,Vegas Golden Knights,22,29,19,12,272,228,Yes,51,44
